batch;code;tbl_speed_mean;tbl_speed_change;tbl_speed_0_duration;total_waste;startup_waste;weekend;fom_mean;fom_change;SREL_startup_mean;SREL_production_mean;SREL_production_max;main_CompForce mean;main_CompForce_sd;main_CompForce_median;pre_CompForce_mean;tbl_fill_mean;tbl_fill_sd;cyl_height_mean;stiffness_mean;stiffness_max;stiffness_min;ejection_mean;ejection_max;ejection_min;Startup_tbl_fill_maxDifference;Startup_main_CompForce_mean;Startup_tbl_fill_mean;Drug release average (%);Drug release min (%);Residual solvent;Total impurities;Impurity O;Impurity L
907;23;159.9763747;2.395833333;57.29166667;1421.145833;13263;no;99.9944082;18;4.987096774;4.263877069;6.5;6.762364066;0.132160884;6.8;0.3;6.420959811;0.063040854;1.903361702;188.5815603;237;142;353.5489362;394;315;0.34;6.348387097;6.251612903;89;85;0.04;0.24;0.05;0.11
910;13;119.7455307;11.77083333;127.1354167;1288.020833;9990;yes;95.41884361;26;17.72444444;4.431929085;11.4;5.219926134;0.171942377;5.2;3.659409075;5.389539219;0.124706017;1.816732325;62.36563489;76;0;279.9693985;340;0;0.98;9.023809524;5.260238095;87.17;86;0.02;0.05;0.05;0.05
911;13;119.9883753;0.729166667;22.70833333;208.8541667;3747;no;100;7;3.46;4.730662021;7.6;5.154198606;0.068398163;5.2;3.783101045;5.407980836;0.049565278;1.865644599;65.18919861;72;7;258.8770035;287;236;0.42;6.52;5.465333333;88.5;84;0.02;0.05;0.05;0.05
912;13;119.9781441;1.666666667;37.08333333;374.5833333;6581;no;100.003488;14;5.261904762;4.656940312;7.5;4.759628852;0.073306973;4.8;3.892209384;5.429784664;0.052765965;1.92;63.76873249;72;8;247.2419468;292;92;0.38;4.766666667;5.424285714;92;85;0.02;0.06;0.05;0.05
913;13;119.98091;0.78125;19.84375;364.7916667;6228;no;99.98570682;10;7.027272727;4.996535433;7.6;4.759702537;0.083237659;4.8;1.855258093;5.4660035;0.04733485;1.910022747;64.91496063;71;9;229.5849519;308;180;0.24;5.142857143;5.383333333;87;80;0.02;0.06;0.05;0.05
914;13;119.9707109;0.9375;16.5625;174.84375;2967;no;99.98887537;13;4.269230769;4.72966899;6.7;4.659843206;0.061934121;4.7;1.80695122;5.400529617;0.056842317;1.900095819;62.49965157;70;15;221.5527875;295;184;0.5;4.692307692;5.301538462;92.5;89;0.02;0.06;0.05;0.05
915;13;119.9468288;0.833333333;15.05208333;331.6145833;5985;no;99.96856001;14;8.843478261;4.818154866;7;4.757743286;0.068716775;4.8;1.79795954;5.433446111;0.05028942;1.886782351;66.08458319;72;15;229.0835368;302;191;0.34;4.166666667;5.255238095;94.83;88;0.02;0.06;0.05;0.05
916;13;119.9977154;0.520833333;20.46875;517.8645833;9594;no;99.99128008;9;5.321212121;5.053622172;7.5;4.455007893;0.081938707;4.5;1.806665497;5.493950184;0.046326533;1.920115769;67.54990353;74;17;218.6488335;298;187;0.23;4.387878788;5.454242424;93;81;0.02;0.05;0.05;0.05
917;13;119.9596984;2.395833333;46.71875;772.8645833;9480;no;99.98769071;19;6.606060606;5.204010462;11.2;5.470554393;0.597614648;5.7;1.731049512;5.472695258;0.055196457;1.799121339;68.33472803;82;17;258.2721409;333;90;0.41;4.66969697;5.622121212;89.33;82;0.02;0.11;0.05;0.05
918;17;99.98761628;2.083333333;39.16666667;724.2708333;6884;no;79.98169137;15;3.581481481;2.556824839;4.4;6.6609256;0.068698237;6.7;0.034797891;6.355969537;0.031910276;1.64393966;174.4616286;236;129;177.1177504;225;100;0.57;6.630769231;6.191538462;91.17;87;0.05;0.06;0.05;0.05
919;17;119.9944041;1.25;27.5;511.875;4903;no;80;11;6.30625;3.233935394;6.3;6.053977075;0.073510132;6.1;0;6.267683223;0.042092782;1.698579368;209.3199027;257;190;165.7526919;181;156;0.33;6.65;6.139375;89;83;0.03;0.06;0.05;0.05
920;17;119.9972945;1.041666667;32.91666667;247.8125;2350;no;79.97850208;8;5.590909091;3.50831883;6.5;6.358753916;0.072802866;6.4;0;6.345127045;0.037076197;1.68;212.1388792;261;165;172.7281587;266;80;0.24;6.14;6.21;88.5;84;0.02;0.11;0.05;0.05
921;17;119.9594866;1.666666667;85.20833333;542.6041667;2777;no;80;7;6.6;3.607767328;7.2;6.458934169;0.082867466;6.5;0;6.376541275;0.039613793;1.68;213.0926506;257;167;175.6203413;253;104;0.26;6.425;6.163333333;93.67;91;0.02;0.11;0.05;0.05
922;17;119.9933194;2.395833333;88.64583333;1264.791667;7522;yes;79.95584145;14;5.792307692;3.954561404;7.7;6.068480168;0.357341502;6.3;0.058827659;6.400975781;0.068827172;1.71986662;221.8206388;321;194;192.0628291;268;160;0.16;6.2;6.222;88.17;86;0.04;0.12;0.05;0.05
923;17;119.9744901;1.875;30.72916667;724.5833333;6923;no;79.97823082;14;5.92;4.296793308;7.9;6.360892297;0.082271016;6.4;0.015719763;6.406768909;0.038502059;1.65;228.9714186;292;209;193.1373301;211;175;0.45;6.475;6.2425;88.67;83;0.06;0.05;0.05;0.05
924;17;119.995464;1.041666667;37.08333333;546.4583333;5186;no;79.97853929;8;6.384210526;4.338745645;7.3;6.358327526;0.087798631;6.4;0;6.474299652;0.04352434;1.672432056;227.8585366;269;206;182.3961672;196;171;0.17;6.088888889;6.283333333;89.67;83;0.06;0.05;0.05;0.05
925;17;119.9476668;1.041666667;293.6458333;635.625;6043;no;79.95682211;11;8.404166667;4.848902821;8.3;6.155764542;0.079155158;6.2;0;6.5351341;0.067474923;1.736663184;208.6830373;294;189;180.287008;197;169;0.3;6.222727273;6.165909091;88.5;85;0.04;0.05;0.05;0.05
926;17;119.9475302;1.458333333;59.0625;544.5833333;2900;no;80;6;4.872727273;5.137864078;8.9;5.32704577;0.510021127;5.1;0;6.469133148;0.177299699;1.813571429;213.868932;251;195;171.4472954;195;154;0.28;6.645454545;6.257272727;88.33;83;0.05;0.05;0.05;0.05
927;13;160;1.614583333;24.89583333;493.3854167;8712;no;79.93978996;20;4.734782609;4.417573909;8.3;5.461191929;0.054768281;5.5;2.007836696;5.648695448;0.052299722;1.87738855;144.5832942;234;69;230.2562177;265;137;1.35;7.385;5.6015;90.67;89;0.02;0.05;0.05;0.05
928;13;160;1.510416667;32.70833333;811.25;15030;no;79.94816717;13;5.871794872;4.259778511;7.6;5.354337577;0.052400946;5.4;2.149646393;5.659905705;0.046935221;1.929693541;163.0365394;254;122;249.6984913;275;52;1;5.628947368;5.634473684;91.67;84;0.03;0.06;0.05;0.06
938;23;119.9535529;3.020833333;33.33333333;1844.791667;17683;no;79.98232848;24;2.921428571;2.642473498;4.6;5.45869258;0.118761671;5.5;0;6.053088339;0.084668083;1.885833922;67.46961131;72;63;205.2985866;233;185;0.5;5.829090909;5.864727273;85.25;77;0.02;0.28;0.07;0.1
939;23;119.9411949;3.333333333;57.91666667;1826.875;17513;no;80;21;3.045762712;2.654078014;5.1;5.461985816;0.122647974;5.5;0;6.10872695;0.082094629;1.889120567;69.05992908;74;65;214.0485816;237;192;0.77;5.489830508;5.81559322;87;81;0.03;0.31;0.07;0.11
940;23;119.9892981;1.979166667;31.97916667;981.1458333;9344;no;79.95694444;16;3.278787879;2.734492448;4;5.258974359;0.121463616;5.3;0;6.120561995;0.087006314;1.915342466;72.09589041;82;63;205.6332982;233;157;0.56;5.090322581;5.82516129;87.75;77;0.02;0.31;0.06;0.11
941;23;119.9718783;1.979166667;26.77083333;1107.291667;10622;no;79.99895068;17;3.936363636;2.90502477;5.8;5.657289455;0.128455546;5.7;0;6.273007785;0.090992626;1.890428167;76.53644728;87;65;212.4320594;242;190;0.7;5.906060606;5.961212121;83.67;80;0.03;0.3;0.08;0.08
942;23;119.9343663;3.125;23.64583333;923.8541667;6750;no;79.9401531;14;4.6;3.105126404;8;5.660323034;0.151605971;5.7;0;6.229849017;0.093162512;1.88;76.41397472;87;56;218.5905899;284;150;0.48;6.841666667;5.88;87.33;82;0.06;0.29;0.08;0.08
929;13;119.9479729;3.802083333;68.69791667;1116.09375;9888;no;39.98852374;18;8.022857143;4.739573128;14.3;4.262263821;0.313390375;4.2;0.788558432;5.656009447;0.051175295;1.505722533;224.6623513;298;113;1132.609867;4747;0;1.25;6.958064516;5.336129032;94.67;90;0.03;0.15;0.05;0.06
930;13;119.9510151;4.114583333;91.5625;699.9479167;5199;no;39.99392888;13;8.94;4.796501305;8;4.612571827;0.313143052;4.5;0.805937663;5.701300714;0.048839517;1.446714261;224.1793488;296;121;547.6924952;617;526;0.44;4.795;5.5995;92.33;83;0.02;0.16;0.05;0.07
931;13;119.9553494;3.333333333;47.08333333;431.6145833;6982;no;49.9840527;13;9.096;4.673798747;8.5;4.255849582;0.077150468;4.3;0.702454735;5.614914694;0.037206471;1.493586351;228.2846448;262;125;540.0818245;576;526;0.36;4.865217391;5.543478261;91.17;86;0.03;0.14;0.05;0.06
932;13;119.9778684;1.822916667;48.64583333;448.0208333;7731;no;50;13;6.752;4.717625523;9.5;4.157130404;0.07040593;4.2;0.721077406;5.636215132;0.052268055;1.518995816;228.9728033;288;129;540.4970363;572;526;0.25;4.668;5.4892;91.83;88;0.02;0.15;0.05;0.07
933;13;120;0.572916667;17.91666667;200.78125;3701;no;49.98889275;8;4.342857143;4.758524704;8;4.054314544;0.067394524;4.1;0.702313848;5.594265832;0.025280063;1.511631872;231.282881;265;159;542.4358038;571;526;0.25;4.441666667;5.4425;91.83;83;0.06;0.13;0.05;0.06
934;13;119.9692641;1.458333333;20;521.6666667;9526;no;50;17;5.125;4.764374021;8.1;4.268970921;0.078307837;4.3;0.700261188;5.571605433;0.051101415;1.499618666;224.7527425;273;98;543.7856521;570;526;0.35;3.98125;5.5578125;90.17;81;0.05;0.15;0.05;0.07
943;15;79.97782054;3.090909091;62.18181818;1161.909091;8553;yes;59.99149453;15;2.995454545;2.828565591;7.5;10.20326998;0.948688435;11;4.638279174;8.492006949;0.067978779;2.205258533;175.5558962;236;124;256.8743102;359;157;0.3;9.252272727;8.19;85.67;80;0.04;0.06;0.05;0.05
944;15;79.98154093;2.272727273;26.18181818;728.8181818;7858;no;50.03009631;22;7.305;3.078357605;5.2;9.759526699;0.084064382;9.8;4.342920712;8.407196602;0.053750205;2.207799353;176.8925971;244;145;249.4286003;1002;230;0.54;10.5475;8.21125;84.42;75;0.09;0.06;0.05;0.05
945;15;79.98950767;1.181818182;31.18181818;220.6363636;2376;no;50;8;5.385714286;3.186483205;4.8;9.760643464;0.105308554;9.8;4.552994739;8.509526507;0.053481299;2.23;200.8122218;268;164;242.2737758;287;223;0.39;10.36428571;8.200714286;85.5;82;0.05;0.05;0.05;0.05
935;17;119.9644553;1.770833333;44.16666667;736.875;7048;no;79.97521815;18;3.257692308;2.186861571;6.3;7.459422332;0.11735494;7.5;0;6.196090173;0.094657502;1.679767524;68.45332864;78;62;210.5864741;230;189;0.42;5.832;5.9488;87.33;82;0.06;0.07;0.05;0.05
936;17;119.9916086;1.145833333;32.08333333;963.2291667;9233;no;79.97841977;11;2.590625;2.261774023;7;6.761527631;0.120423212;6.8;0;6.194248504;0.091235689;1.760953889;73.26539951;79;64;203.3790919;221;185;0.43;7.896774194;6.01483871;90.5;86;0.05;0.07;0.05;0.05
937;17;119.9485049;2.291666667;64.375;961.7708333;9164;no;80;13;3.413333333;2.290231904;5.7;6.559978918;0.110202878;6.6;0;6.173288826;0.090002961;1.752129304;68.29690794;78;62;204.0804638;228;129;0.4;6.373333333;5.989666667;87;83;0.04;0.07;0.05;0.05
959;15;79.99880712;1.454545455;37.27272727;241.1818182;2559;no;59.99130611;13;16.17058824;2.761330899;3.8;9.360385396;0.098284399;9.4;4.609513185;8.431608519;0.049036868;2.255194726;172.7322515;222;130;231.7121704;248;219;0.13;9.04375;8.163125;88;83;0.03;0.08;0.05;0.05
946;13;160.0046089;7.8125;77.65625;506.6145833;9606;no;119.9153094;16;4.724;3.860145097;5.7;6.662415165;0.051892723;6.7;1.801216944;5.449019424;0.057209188;1.780126375;149.321788;231;88;209.8588813;266;174;0.98;8.591304348;5.257826087;83.67;77;0.02;0.05;0.05;0.05
947;13;160;1.40625;49.84375;662.5520833;8121;no;119.8337596;9;4.580952381;4.030607477;8.7;6.779064327;0.278439169;6.9;1.821216374;5.470460819;0.053425461;1.774566082;148.7373099;232;102;211.6332164;246;165;0.13;6.531578947;5.512631579;86.83;83;0.02;0.05;0.05;0.05
948;13;160;0.78125;19.73958333;179.8958333;3113;no;119.9525029;4;5.233333333;3.970625292;6.8;6.953781513;0.054042165;7;1.816596639;5.473174603;0.05438645;1.761139122;151.5532213;246;9;213.6353875;247;188;0.06;7.1;5.468888889;86.83;82;0.02;0.05;0.05;0.05
949;13;160;1.09375;35.15625;276.1979167;4783;no;119.8812296;4;5.592307692;3.964821303;5.9;7.360687558;0.056323166;7.4;1.874695978;5.490278297;0.051996781;1.749501871;155.921188;241;86;214.5350795;245;172;0.08;7.269230769;5.476923077;88.33;82;0.02;0.05;0.05;0.05
950;17;119.842902;4.479166667;65.52083333;1662.8125;9392;no;79.93484321;16;9.172727273;2.290623898;10.3;6.307299013;0.799271915;5.7;1.176657264;6.4172567;0.057035702;1.7122567;215.5476023;261;133;174.8180536;208;90;0.57;5.767741935;6.146451613;87;85;0.06;0.07;0.05;0.05
